,company,subject,date,description
154,Entel,Bloqueo de servicio por supuesta deuda,2019-10-18,Ya es el segundo mes que Entel nos corta el servicio celular por una supuesta deuda. Este mes nos dicen que faltan $5000. Nosotros tenemos PAC: no saben hacer un pago automático por el monto que corresponde o tienen GRAVES problemas de contabilidad? Entel se quiere deshacer de fieles clientes con 15 años de servicio continuo? 
155,Carabineros de chile ,Ostigamiento y persecución. ,2019-10-18,El carabinero Angelo Sobarzo correa cabo 2 de la comiseria 49 de quilicura lla que trabajo de comerciantes ambulante en el metro quilicura nos insulta tratadome de tonta de porfiada amenazándome que me ban a quitar toda mis cosas diciendo de que mi pareja es atrevido por reclamar diciendo que no me trate así poniendo  ****o  ablando mal como autoridad empuja Ami pareja yo nose que clase de carabinero es pero para ablar así nose dónde fue a buscar el título pero para aseer carabinero de chile y protejer no tiene nada una carabinero así por eso chile esstá como está por culpa de la autoridad de chile que rabia no poder Aser nada fui ala comiseria a poner un reclamo y la carabinera mujer  poco me pesco con. El celular en mano me dijo k si quiere Aser el reclamo tiene que Aser lo por internet como uno va asever si lo vieron si le dijieron algo ?? 
156,Claro,"Sin señal, tarjeta sim",2019-10-18,"Tengo un plan unidos y uno de los celulares lleva problemas de conexión.  Viernes anterior (10 horas)y ahora nuevamente empezando fin de semana.  (Desde ayer.jueves a las 18:00) Telefono no toma señal 4g, señala ""sin tarjeta sim"" , por ende no reconoce contactos telefonicos y no permite recibir llamados. "
157,Corporación de desarrollo de la provincia el loa ,Error en recarga de tarjeta cupón electrónico ,2019-10-18,"El día 01 de Octubre del presente año se solicito una recarga de combustible por $400.000.-, el sistema automáticamente me emitió la factura para yo poder ir al banco a pagarla vía cheque al día siguiente, el problema comenzó al pasar de los días cuando revisaba constantemente el portal de ""Cupón Electrónico"" y nunca nos hicieron la recarga de los $400.000.- si no que de $200.000.-, al internar resolver el problema NINGÜN trabajador de Copec nos ha prestado ayuda y evaden nuestros correos electrónicos, cada vez que llamo al Call Center me informan que no me pueden entregar el número telefónico de nuestro ejecutivo ALEJANDRO GUERRERO y tampoco el número telefónico de JOHANNA PAREDES quien tomo nuestro requerimiento, más no nos ha ayudado en nada y no responde los correos electrónicos, llevamos 17 días sin poder hacer nuevas recargas.  REQUERIMIENTO 626010. "
158,Loteria,Abono ,2019-10-18,"Carge 2000 para jugar y me dice saldo 0, la transferencia se descontó de mi cuenta, veo que no soy la única,  que se hace en esos casos? "
159,Ecm,No habia quien cobrara el estacionamiento,2019-10-18,"Señores ECM, hoy a las 15:41 hrs me estaciones en Echaurren con Grajales, al volver a mi vehiculo a las 16:05 hrs no habia nadie que cobrara el estacionamiento. Espere por más de 15 minutos, toque la bocina y no apareció nadie. El cobrador que aparece en el ticket es Julio Pino Pardo que brilló por su ausencia. "
160,Metro bus 72 a,Boleto de pase escolar,2019-10-18,"El chofer de la micro, patente BHYC76, una persona con cero vocación de trabajo. Físicamente es corpulento, se ve de edad y tiene muy poco cabello, con una voz un poco ronca!!.Mi siguiente reclamo se debe a esto en la cual ya está pasando reiteradas veces!!...Yo al esperar mi micro que tomo todos los diás de la semana de Lunes a viernes. hoy 18 de octubre 2019 a las 7.15 hrs Aprox. en Avenida Mexico con Angel Pimentel (Frente al supermercado); pasa que este señor evadiendo el paradero detrás de otra micro, Este señor rebalsó el vaso de agua!!!.....En fin de cuenta este señor detiene su maquina a metros mas allá del pareadero en donde corresponde, me abre las puertas traseras me subo y cuando voy a cancelar mi pasaje escolar, este señor comienza a decirme textualmente:¡Y ESTO ME VAY A PAGAR!!!??? ¡¡SOY CARE  ***a !!; le respondo; ¡Por supuesto es lo que me corresponde!¡Mi pase tiene su logo al día! le paso los $250 pesos en su mano y este señor tira bruscamente mi dinero diciendome: ¡YA PASA!; Al exijir mi boleto escolar; este señor sigue su rumbo, por lo que le digo ¡Señor, mi boleto!...este me responde ¡NO TE LO VOY A PASAAAAR OHHH! ¡ME PAGAY UNA CAGÁ DE PLATA!!.... le estiro la mano y sigo pidiendo mi boleto, este señor muy brusco abre su caja saca los boletos que no tenia fuera y me dice... ¡YA OHH AHI TENI, NO SE PA' QUE TE PARE POR TU CAGÁ DE PLATA!....Esta situacion hace que me moleste mucho y le digo ¡SI NO TE GUSTA TU TRABAJO CAMBIATE!....¡SIEMPRE ES LO MISMO CONTIGO YA SON VARIAS VECES QUE ME TIRAS MI DINERO!....¡NO TE VOY A REGALAR MI DINERO DE MI PASAJE PORQUE ME CUESTA GANARMELA TRABAJANDO Y ESTUDIANDO HONRADAMENTE!...este señor me dice.....¡ME PAGAN POCO DE ALGUN LADO TENGO QUE SACAR PLATA!.....Me siento para dejar de discutir con este desagradable caballero.... el iba acompañado de otra persona....Todos los escolares que pasarón yo observando, este chofer a ninguno.... pero a ninguno.... le entregó su boleto, eran todos escolares media o quizás de básica....A fin de cuentas este señor insisto no deberia seguir en este rubro, ya que a su compañero o su amigo que iba en la bacina de al lado le decia....¡ESTE TRABAJO ME TIENE CHATO!....¡NO SI NO SE PARA QUETRABAJO PORQUE E GANA POCO!lamentablemente chile está en una situación complicada economicamente... pero esto no quiere decir que este señor vaya a tratar mal a las personas adultas escolares como yo!!.y no es tan solo él el que trata mal verbal, o físico , sinó que hay otro chofer en el  que tambien me he topado es un chofer de contextura muy muy delgada alto, y su cara es rara... cuando el habla, su vocabulario es absolutamente informal.Espero que esto se solucione... porque es muy desagradable, levantarse muy bien en tu casa, salir bien de tu casa, y que pase este problema porque a este chofer no le gusta su trabajo?? de verdad.... es demaciado!... "
161,Baby infanti,Problema con la entrega ,2019-10-18,"Compré el día 8 de octubre una silla convertible con retiro en tienda y el día 9 una butaca también con retiro en tienda, el día 12, el día 12 me aparece que viene en camino y el 14 me aparece qué hay problemas con la entrega "
162,Tottus,No entrega los productos,2019-10-18,señores en Tottus el bosque no entregan los productos en las fechas correspondientes tenia entrega confirmada la el dia 14 de octubre  y ellos aludian que no estaban disponibles siendo que si estaban pero ellos estaban bailando en actividades extra programáticas del local y no atendian publico me acerque el dia 17 y me entreegan los productos  y nuevamente faltaba uno no me fui hasta que me lo entregaran  y cuando aparecio me lo entregan con sellos rotos y bolsa abierta 
163,Latam,Cambio de 2 asientos habiendo pagado por la eleccion de ellos c9n anterioridad..solicito devolucion del dinero cancelado,2019-10-18,"Reserva ZIBIRZ de Cecilia Ormazabal, al écomprar 3 pasajes Santiago Balmaceda cancele un adicional por elegir asientos(9J-9K y 9L) en el momento del embarque nos damos cuenta que se cambian  dos pasajes a la fila 35 J y K , lo que provoca molestias por la separacion de la familia, y al consultar se nos informa que hubo Cambio de avion.Solicito la devolucion del dinero de la reserva de asiento a mi cuenta de cmr visa falabella .y pido a ustedes avisar con antelacion los cambios efectuados. "
164,Vía láctea ,No quiere dar vuelto,2019-10-18,"Hoy me subí a un bus Vía Láctea aproximadamente a las 07:10 de la mañana en el paradero ubicado en manuel Rodríguez con los pinos (frente del cerro negro) diciendo hola cómo de costumbre(soy estudiante universitario) y pago mi pasaje con 1.000 mostrando mi pase, el chofer muy poco empatico me dice : no teni sencillo? A lo que mi respuesta fue:nada y el me responde devuélveme el boleto y bájate por que no te voy a regalar el vuelto ...Choferes como este y otros deberían tener un poco más de empatía a la hora de realizar su trabajo, quizás no tienen hijos que estudian... será por eso que no entienden?...No por su mal día o quizás no estar feliz en su puesto de trabajo tiene que ser así con estudiantes y con cada persona que se sube al bus, no es mi culpa que le haya tocado eso y aun así no tendría porque!! Pd:luego me subí a una vía siglo y ningún problema un 7.0, ningún pero a la hora de darme mi respectivo vuelto y hasta me respondió él buenos días con una sonrisa !! "
165,Puma ,No me quisieron hacer la venta,2019-10-18,Hoy fui a comprar como de costumbre a puma de san ignacio 500 en los autlet de san ignacio y cuando llego ningun vendedor de acerco cuando voy a pagar a caja la cajera me dice que no me puede hacer la boleta por que yo revendo los productos y que le habian proibido venderles a mayorista le dije si pero yo no soy mayorista y si yo revendo las zapatillas es problema mio h me dijo que si me hacia la boleta le pomdrian una carta de amonestacion yo solo iba a comprar 1 par de zapatillas y me la negaron  la venta encuentro super injusto por que no hay ningun cartel que diga que no se le vende a revendedores o que no venden por grandes cantidades pero en este caso yo solo iva a comprar un par y me negaron la venta aparte en este local tienen amenasados a sus trabajadores con ponerle cartas de amonestacion o despedislos si atienden a un mayorista o revendedor 
166,Cardif,Seguro sin mi concentimiemto,2019-10-18,hola.yo ya mande un correo el 6 septiembre del 2019.para q me retiren de un seguro de vida pus.que sin mi consentimiento.me lo pusieron cuando saque un avance en tiendas abcdinvisa.lo cual quiero.respuesta.por lo q ha pasado ya varios meses.y este seguro saldra en diciembre.espero respuesta a la brevedad. 
167,Microclub ,Ruidos molestos música ,2019-10-18,Por favor fiscalizar locales y discotheque ubicados en Ernesto pinto Lagarrigue y Antonina Lopez de bello que emiten ruidos molestos y no dejan descansar a vecinos del sector. 
168,Tne ,Me rechazaron la solicitud nde reposición y no se por que,2019-10-18,"Pague $3600 via web, para la reposición.Me la rechazaron y no se por que. Exijo una explicación o  mi dinero de vuelta "
169,Lays ,Papas saladas,2019-10-18,"Acabo de comprar en un negocio del barrio un paquete de Papas fritas lays está no se pudo comer por encontrarse asquerosamente saladas, estás excesivamente saladas quien responde por el mal momento y que ya no pudimos hacer la devolución en el negocio por el horario de atención. "
170,North services ingeniería ltda.,Incumplimiento overnight,2019-10-18,"Se despacha carga a traves de su despacho overnight con fecha 14 de octubre, para que llegue con fecha 15 de octubre al medio día.Carga no llega en fecha indicada y en sucursal de plazuela  los heroes no tienen explicación, se llama al Call de Uds y tampoco saben motivo.Carga finalmente llega el 16 de octubre y Chileexpress cobra el mismo precio de overnight, siendo que carga llegó como un envío común y corriente.Por tal motivo creemos que cobrar por un servicio que no se cumplió no procedería, si se contrata un servicio especial es porque la carga para nosotros es especial, tal vez para Uds no, pero lo anterior nos hizo incumplir con nuestro cliente y eso nos llevo una serie de costos adicionales asociados, aparte de perder credibilidad con nuestro cliente.Por tal motivo creemos que el costo minimo que Uds deben asumir es cobrar como un envío normal y no overnight. "
171,Desarmaduria ipar,Repuestos malos,2019-10-18,"En esta desarmaduria venden repuestos con fallas, ojo con los repuestos en oferta, son los peores y si no dices nada te dan menos días de garantía, para que así tengas menos tiempo para darte cuenta de la falla. Al ir a buscar una explicación a la casa matriz ubicada en Arturo Prat, aparecen solo extranjeros que nisiquiera te dan su nombre.  **********s ! "
172,Chilexpres ,Retienen encomienda y no dan respuesta donde esta,2019-10-17,"El día 11 de octubre del 2018 hice una compra en mercado libre día que se me envió para ser recibida el día 14 de octubre del 2019 el seguimiento arrojo que el paquete fue recepcionado por Chilexpress y que estaba en tránsito ,a la fecha el envío esta retenido por Chilexpress y no ha Sido enviado a destino. Mandé el reclamo correspondiente a Chilexpress para averiguar dónde lo tienen o si lo perdieron, la escueta respuesta fue que el vendedor debe hacer el reclamo. No sé hacen responsables de nada y pierden los envíos no cumpliendo fechas de entrega ,pésimo e irresponsable servicio,deberían fiscalizarlos y multarlos por incumplidores,no dan soluciones a nada. "
173,Infanti.shop,Pedido no ha llegado,2019-10-17,"El 27 de julio compre una mochila pañalera, la compra fue cargada el mismo día en mi tarjeta, ya han pasado casi 3 y aún no me ha llegado y tampoco tengo respuestas da los mail que he enviado solicitando fecha de entrega de producto o la devolución del dinero, hoy ingreso nuevamente a la página y ya no existe, definitivamente la página es una  *****a , así que no compren en la página www.infanti.shop "
174,Tottus,"No se cumple con fecha de despacho  no hay informacion, ni entrega ",2019-10-17,"Bueno como la mayoría de los que han escrito, realice una compra en tottus.cl para el cyberday, donde la fecha de reparto era para el Lunes 16 del presente mes, se recibe una llamada avisando que el reparto se retrasará para el Martes 17, nunca llegaron, se llama durante media hora para ser atendido donde las preguntas lógicas jamas fueron atendidas y respondidas con coherencia, quien contesta no sabe nada de absolutamente nada, no es capaz de decirte en que zona esta el producto, ni siquiera si se entregará, te deja dando bote. No hay servicio de la empresa para estos casos y el cliente queda en la absoluta ignorancia y desinformación de su compra. "
175,Veterinaria nueva vida,Pésima atención y procedimiento,2019-10-17,"Resulta que adoptamos un perrito de un mes y cuatro semanas aproximadamente. La llevamos a esta veterinaria y lo dejaron hospitalizado, resulta que le dolía mucho el estómago y al parecer adquirió una infección. Le tomaron un examen de sangre, lo fuimos a ver durante la tarde y no tenía problemas estaba bien, durante la tarde empeoró y continuó con diarrea y vómito. Nos piden dejarlo un día más hospitalizado para tomarle una ecografía y descartar algún problema al estómago. Nos llaman a las 8 a.m del día siguiente para avisarnos que nuestro perrito había fallecido sin ninguna explicación.Al averiguar con otro veterinario nos comenta que si o si se le debía tomar la eco primero apenas tomaban el examen de sangre o antes, además no quisieron hacer los examen te delante de nosotros cosa que recomiendq el otro veterinario y aun no nos quieren entregar un informe de lo que sucedió.Resulta que al ir a buscarlo a las 9:30 aprox nos dice que debemos esperarla debido a que anda en una emergencia, luego cuando llega nos entregan a nuestro perrito en una bolsa de basura cero empatia en la situación y al preguntar si quedaba alguien de noche para cuidarlo siendo que estaban hospitalizados no nos dan respuesta y resulta que quedaban solos los perritos.No lo recomiendo para nada sin importar lo que gaste que fueron 140.000 mil pesos aprox no dan ninguna certeza ni claridad en lo que realizan. "
176,Carabineros de chile,Cuadrante 55   norte: américo vespucio / sur: avda. lo espejo oriente: j.j. prieto / poniente: gran aveni,2019-10-17,"La inutilidad del Cuadrante 55 es comparable con el de un cenicero de moto, siempre que los llamas el teléfono está ocupado o ""no disponible"", después de 40 minutos llamando te contestan y hay que esperar una hora a que aparezcan, es simplemente ridículo. Lo peor es que cuando pasan, no hacen absolutamente nada aunque la persona acusada continúe en el lugar.Alguien me explica para que se les paga a los carabineros del Cuadrante 55?? Ojalá ellos mismos.Voy a empezar a grabar cuando pasan saludando a  **********s  y pasteros en la calle, a ver si cuando todos sepan su manera de operar van a seguir haciendo lo mismo.De más está decir que la municipalidad de La Cisterna se va a dar por enterada lo antes posible. "
177,Tottus,No entregan producto,2019-10-17,"Realice una compre el día 8 de octubre durante el Cyberday, el retiro en tienda seria para el día 16 pero hoy me dirigí a retirar mis productos y al momento de que revisaron mi compra esta no salia en el sistema y tampoco nunca me llego la boleta de la compra pero claro el cargo a la tarjeta CMR fue de inmediato. Me parece sumamente desagradable esta situación debido a que no gestionan de manera correcta mi compra y ademas no cumplen con las condiciones de entrega y para que decir del call center que nunca contesta. De todas mis compras esta a sido la peor. Quiero que me entreguen mis productos lo antes posible. Es una vergüenza su sistema de post venta. "
178,Falabella,Compre el 8 de octubre y aun no recibo el producto,2019-10-17,"Compre por Internet una cafetera Nespresso-CAF por $ 153.980.- según boleta N° 629405454 el dia 8 de Octubre 2019.Hasta el momento no he recibido el producto y lo peor es que no se puede hablar con nadie para hacer el reclamo, ya que atienden grabadoras.Cuando logre comunicarme me indicaron que debía esperar a que la encargada de estos casos hiciera las averiguaciones internas y que una vez logrado se comunicaría conmigo, cosa que sigue sin ocurrir.Hasta la fecha en la página de Falabella único medio para hacer seguimiento, sigue apareciendo un aviso que dice "" lo sentimos, sabemos que no le ha llegado el producto y se lo enviaremos en cuanto sea posible"" "
179,Iberia,Pasajes con apellidos cambiados,2019-10-17,"El día de ayer  16 de octubre intente comprar unos boletos por la página web ,al momento de ingresar los datos de mi hijo menor no me dejaba seleccionar su fecha de nacimiento lo intente unas 5 veces finalmente espere al siguiente día , ya que la página no funcionaba.Hoy 17 de octubre  compre 4 Pasajes para mi y mis tres hijos (todos menores de edad) al ingresar sólo le pedía nombre y dos apellidos fecha de nacimiento solo para él más pequeño los cuales ingrese correctamente (tengo fotos de respaldo) y al momento de pagar se cayó la página , vuelvo hacer el mismo procedimiento a llenar los datos y en el segundo intento me dejó efectuar la compra , me llega la confirmación de reserva con los apellidos de mis hijos cambiados (llevaban todos mis dos apellidos y no los de su padre) por lo que me comunico de inmediato con la aerolínea y me piden que espere a que me lleguen los ticket que ahí deberían ir los apellidos correctamente pasaron 5 horas aprox y me llegan los ticket al correo y los apellidos salían mal ,llamo nuevamente para pedir una solución y ellos responden que la única solución era hacer un reembolso pero con una multa de $100.000 y que luego de eso tenía que volver a comprar ya que si ingresaba un reclamo no serviría de nada ya que no están facultados para cambiar los apellidos!!! Y el reembolso solo lo puedo pedir las primeras 24hrs. Luego de comprado los Pasajes . Y que además tampoco es seguro que me reembolsen el dinero completo! Ahora solo esperar a ver cuánto me devuelven y de todas maneras ir al Sernac no recomiendo para nada esta aerolínea ya que eh viajado anteriormente con Avianca , Lan y Aeroméxico y jamás había tenido problemas de este tipo.Ojo que al ingresar a esta página leí que a otra persona le había ocurrido casi lo mismo que a mi No adjuntaré imágenes ya que aparecen los nombres de mis hijos todos menores de edad. "
180,Integramedica ,Dental,2019-10-17,"El motivo de mi descontento con la atención es Dental producto de que fui para ser atendido en una urgencia por dolor de una muela, fui atendido muy amablemente el dentista Jorge Vergara me tomo Rx no vio caries pero, por la sintomatología me dice que es para tratamiento conducto, "" yo solo quería que se me quitara ese insoportable dolor"", se me hizo presupuesto, lo cancelé y antes de terminar el tratamiento ( 3 sesiones ) con dicho dentista la muela se me quebró a los 10 días....lo que me llevo a consultar nuevamente pero, por falta de hrs en Integramedica vespusio tuve que consultar en las condes, el dentista que me atendió me saco el fragmento de muela y me puso cemento... con sugerencia de ponerme una Corona....mi reclamo es relativo a algo que creo era innecesario...( t.c) porque no había caries, y ahora me tengo q hacer otra intervención,  más costosa aún. Creo q no debo llegar a una demanda por lo q pido consideración con.mi caso . Atte Guillermo Solís Arrochas. "
181,Esval valparaíso,Falta al trabajo y responsabilidades. ,2019-10-17,"Dejó el siguiente reclamo a la empresa Esval Valparaíso por su inoperancia, Falta de responsabilidades y compromiso con sus funciones básicas. Llevó más de tres meses solicitando el corte de suministro de agua a mi casa que se encuentra en toma, de los cuales no se han generado los pagos de los bienes, con un atraso de más de cuatro meses. La explicación de empresa ha sido que la “casa se encuentra cerrada” y esta es una Falta a la verdad y a sus funciones, ya que cuando se debe realizar el corte de suministro, no hay quien los detenga.Hago publica la esta situación a la cual mi familia ha tenido que soportar por más de seis meses, en donde las personas sinvergüenzas que tienen tomada mi propiedad viven gratis, con bienes básicos y sin remordimiento.Un total abandonó por parte de la empresa en las responsabilidades administrativas, laborales y funcionales con respecta a mi caso y a mi situación. "
182,Adidas , zapatillas mala calidad ,2019-10-17,Compre unas Zapatillas para mi hijo  y ala semanas se rompieron  super mala calidad  más encima las fui a cambiaf y no las cambiaron porque se tenía que ir a evaluación. Dejando ami hijo a pies pelado 
183,Linio,Reloj smartwatch no funciona,2019-10-17,"Compre un smartwatch en linio, se demoraron una semana más en qye llegara a domicilio y cuando llegó lo revise, venia el paquete de embalaje y caja en mal estado y el Reloj no funciona y no venia el cable de carga. Necesito una respuesta y solución cuerda y rápida. "
184,Pullman bus,Dejan pasajero botado en agencia,2019-10-17,"Se necesita hacer un transbordo para llegar a la ciudad de antofagasta desde El Salvador, pésima gestión de vendedora yaque no aviso a   la agencia para  que conductor me esperara , me dejaron botada en agencia, no me dieron ninguna solución y necesitaba llegar con urgencia al destino "
185,Superintendencia de isapres,Cobro de cotización  sip are nueva mas  vida,2019-10-17,"Estimados me están llegando correos electrónicos  de una empresa de abogados de la maza . Cobrando cotizaciones  impagas atrasadas siendo que ya no estoy afilada a esa ispare,  hace más de 3 años , razón por la cual. Consideró que es un abuso estos cobros . Además yo no tengo esa deuda AtentamenteJulia "
186,Supermercado tottus,No entrega de compra a domicilio en fecha programada,2019-10-17,"El día 8 de octubre hice una compra por internet en el supermercado Tottus, con despacho a domicilio programada para el día 17 del presente. Como no llegó el pedido llamé al teléfóno de atención de clientes y despues de esperar 15 minutos corté. No hubo llamado ni ninguna acción y estuve todo el día esperando por las puras. Una falta de respeto y una mala calidad de servicio. No hay otro canal de contacto para pedir la devolución de lo pagado. "
187,Tottus,No cumplen con compras en ciber day,2019-10-17,"Compre él día 7 de de octubre en ciber day de Tottus una consola play 4 y aun no recibo ningún correo de parte de Tottus para informarme de cuando retiro mi compra, llamo a los teléfonos del call y se demoran 2 horas en atenderme, para informarme que no tienen aún información y que no saben como ayudarme, exijo que me entreguen mayor información sobre él producto y que se haga valer mi compra. "
188,Abcdin,Cobro indebido ,2019-10-17,Me acaba de llegar una compra supuestamente de un ajuste relaciones comerciales por casi 190.000 es una burla necesito un solución la tarjeta es de mi madre. 
189,Clínica de la mujer   concepción,Ruidos molestos,2019-10-17,"Mi mamá estuvo hospitalizada, le tocó en una pieza frente al mesón de matronas, le fue imposible dormir bien, ya que las señoras conversaban/reían hasta altas horas de la noche. A eso le sumamos el ruido que hay durante el día por los arreglos que le están haciendo a la clínica.No me parece ético, que vayan a copuchar al trabajo. Háganlo en silencio. En el mismo informativo que entrega reglas a cumplir por el personal y visitas dice: hablar con tono de voz moderado. "
190,Municipalidad de calama,Kiosco frente a la biblioteca de calama,2019-10-17,El propietario del kiosco que esta al frente de la biblioteca de calama en la av. granaderos con ascotan pertenece a unos ciudadanos peruanos los cuales se adjudicaron este bien por motivos de pobreza sin embargo ellos poseen dos vehiculos nuevos y el esposo trabaja en una minera con mucho dinero asi mismo tienen una casa en un condominio.Esta ayuda que da la Municipalidad de Calama debe ser solo para personas de bajo recurso economico burlandose y sacando provecho de su situacion. 
191,"Estacionar operaciones, concepción",Cobro de deuda por estacionamiento inexistente,2019-10-17,"Funcionario de parqumetro me da a conocer que mantengo un estacionamiento no pagado, cuyo estacionamiento nunca existió ya que es una arteria en que nunca me he estacionado, ademas deque estuve estacionado durante 8 horas por lo que es un valor aprox. de $10.000. y presentando elreclamo correspondiente en oficinas de parquimetros me dicen que no pueden anular el cobro y sino pago se me cursará un parte municipal que quedará registrado  en el registro nacional de partesno pagados lo que me impedira sacar permiso de circulación.Si bien yo podria pagar lo que me cobran pero tengo ninguna obligacion de hacerlo por que es un cobroarbitrario inexistente de algo que yo no he realizado.   Que podría hacer para anular ese cobro?Mi vehículo es un Ford Scape placa JL YY-24.Gracias[email protected] "
192,La polar ,Producto no llega en fecha establecida ,2019-10-17,"Me llaman antes de la fecha de entrega para retirar el producto, voy el día que estaba establecido y me dicen que aun no llega, osea me establecen una fecha después me llaman y me dicen que esta antes? Y al final no hay nada? ... Mal servicio "
193,Pullman bus,Buses en mal estado,2019-10-17,"Viaje desde Valparaíso a San Antonio, un viaje que si bien es corto, fue un martirio, el bus con una temperatura de 25 grados dentro, no habia aire acondicionado, los espacios de los asientos excesivamente pequeños, tanto que mis rodillas tocaban el asiento de adelante y a la persona que estaba a mi lado, no entiendo como tienen un precio tan alto si sus buses están en muy mal estado, son pequeños e incómodos, totalmente evito viajar en esta empresa pero hoy no me quedaba más opción. "
194,Entel ,1 semana esperando chip para portabilidad,2019-10-17,"Llevo 1 semana esperando que Entel vaya a dejarme el chip para portabilidad de claro a Entel , (Debió ser este lunes)He llamado miles de veces y mencionan que el chip esta en proceso de entrega y que llegaria mañana.Parece cuento .Vez q llamo dicen que llegará al dia siguiente o me cortan en telefono!Pésima atención, el servicio de Entel ha empeorado muchisimo. Que horror! Por favor un poco de profesionalimo. "
195,Loteria,Aboné y no figura saldo,2019-10-17,"Hoy abrí una cuenta con lotería y Aboné 2 mil pesos ,esto fue al medio día y siendo las 22 horas aún me meto a la página y me aparece saldo cero he mandado correo y cero respuesta esperando solución de problema o devolución de dinero "
196,Entel ,Sin informacion ,2019-10-17,Yo edith pizarro bravo contrate un plan en Entel luego me dirijo a pagar la cuenta y me doy cuenta que tenia 2 planes fui a ver que era lo que pasaba y una ejecutiva me dice que habían contratado otro plan desde una tienda no me quiso decir cual lo cual ella me dio el numero del cual se iso el otro plan y yo llamo y la niña me dijo que no que ella no lo había contratado me volví a dirigir a Entel y lo cual ellos no me dieron ninguna respuesta absoluta sobre esto ya que para contratar un plan se debe tener mi carnet por ambos lados y mi firma le vuelvo a decir ala niña y me dice que ellos no pueden ser nada mas aya y me llaman todos los dias para cobrarme el 2do plan y les pido a ellos el contrato del 2do plan y no me quieren dar solución 
197,Ripley ,Atraso en entrega de producto ,2019-10-17,"El dia 10/10/2019 realicé la compra de un producto via internet lo cual decia que llegaria el lunes 14 y vamos a estar a 18 y aun nada revisó el seguimiento solo aparece que estan preparando el producto, y no dan respuesta alguna que pasa con la compra "
198,Nueva mas vida,Atencion,2019-10-17,"Hoy mi esposa se dirige a la sucursal de quilpue (v region)..Atendida por la señorita:Alejandra Irribarra.De manera muy burlesca y  una sonrisa sarcastica ,fue atendida mi esposa .Sra.Jeanett Valencia.Para ver un programa de operacion ,lo que no entrego una respuesta de satisfaccion ,entregando de muy mala manera la informacion ,haciendo ver que era la que estaba equivocada por solicitar una buena atencion.Somos nosotros los que pagamos cada mes y este tipo de persona ,pierden clientes y nos vemos la obligacion de cambiarnos de isapre.Solicito fiscalizar a estas personas que se dan la autoridad de ser dueños de la verdad.En espera de llamado y una solucion al mal momento pasado y la no solucion de mi nesecidad. "
199,Te supremo,Producto mal estado,2019-10-17,En la caja de té supremo te ceylan premium nos salió una bolita de té en mal estado como con hongos 
200,"Pedro, juan y diego",Pedido a medias,2019-10-17,Pedí una mega papa y esta llego a la mitad. 
201,Junji,Maltrato ,2019-10-17,"El mes de Junio de este año, la directora del jardín infantil ""Manitos del Mundo"", ubicado en Gran avenida con departamental, me informa que la tía Edith Lara Villavicencio tironea y arrastra a mi hijo Maximiliano Uribarri Guerrero en la hora de siesta ya que el no quería dormir en ese momento. Por lo que voy a hacer la denuncia y me dicen que la directora ya la había echo asique no puedo hacer la misma denuncia y tenia que esperar a ver como salía todo. Fui a PDI y me dijeron lo mismo, fui a fiscalia y a tribunal de familia para ver el seguimiento de la denuncia. Cuando llegó al tribunal de familia me dicen que la causa es sobreseída ya que le habían puesto protección a mi hijo en el jardín, en donde me dicen que la tía no estará más presente en la sala de mi hijo, ella es una tía de sala cuna en donde se encuentra mi hija Emilia Uribarri Guerrero, por lo tanto tampoco me ha dejado conforme el que se quede arriba, y menos exponiendo a tanto niños/as que apenas hablan.La técnico en parvulo estuvo una parte del mes de Julio y Agosto con licencia, yo pensando que la habían desvinculado. Su retorno me sorprende y le comento a la directora y me dice que desde la institución  no le han informado nada, a los días llamo a la psicóloga encargada que mandaron desde la Junji y me dice lo mismo.Han pasado casi 4 meses desde que se me informó la vulneracion que sufre mi hijo bajo esa funcionaria y aun no recibo ningún tipo de respuesta.Mi hijo tiene desde que pasó todo esto no quizo ir más al jardín, le costó mucho el volver adaptarse, pensé muchas veces en cambiarlo pero creo que no tengo porque, si mi hijo es víctima de todo esto.No le tomaron testimonio ya que sufre de un atraso en su lenguaje en donde se le entiende poco y nada.Me dijeron que me estarían informando de todo este proceso y no ha sido así, si yo no pregunto no me informan nada, encuentro muy poco profesional el trabajo que se ha hecho hasta ahora, y creo que es muy grave lo que pasó.Mi hijo no es el único niño que ha sido vulnerado por esta funcionaria.Espero se tomen medidas pronto y que desvinculen a este tipo de funcionarias en donde ponen en peligro la integridad de niños/as. "
202,Dafiti ,No existe opción de cambio y/o devolución ,2019-10-17,Lamentablemente no tengo acceso a cambio y devolución en un producto adquirido. 
